id,content
1.64534E+18,"bibi harusi mbioni baada ya kufyatua risasi katika harusi yake
 "
1.64533E+18,"china yafanya mazoezi ya kuizingira taiwan katika siku ya tatu ya mazoezi 
 "
1.64532E+18,"maandamano makubwa dhidi ya serikali yaendelea kufanyika katika jimbo la amhara nchini ethiopia
 "
1.64531E+18,"arshad sharif mke wa mwandishi wa habari wa pakistani aliyeuawa kenya ataka a umoja wa mataifa uchunguze kifo chake
 "
1.64531E+18,"dalili za ugonjwa wa moyo ambazo  simu yako inaweza kugundua
"
1.6453E+18,"miili miwili yapatikana baada ya jengo la marseille kuharibiwa na mlipuko
 "
1.64529E+18,"ulimwengu ulivyoshtushwa na hatua ya kunyongwa kwa saddam hussein miaka 20 iliyopita 
"
1.64528E+18,"video yaonesha maporomoko ya theluji katika milima ya alps ufaransa
 "
1.64528E+18,"vita vya ukraine nani alivujisha nyaraka za siri za marekani kuhusu vita ukrainena kwa nini 
"
1.64527E+18,"rais wa tanzania samia suluhu avunja bodi ya trc
 "
1.64526E+18,"tetesitottenham wameonesha  nia ya kumsajili winga wa morocco hakim ziyech 30 kutoka chelsea msimu huu wa joto
"
1.64516E+18,"israel yashambulia maeneo mengi syria baada ya kurusha roketi usiku kucha
 "
1.64515E+18,"aliyefichua eneo ambalo mamluki wa kundi la wagner linawazika wafu kutoka ukraine atoroka urusi akihofia maisha yake
 "
1.64515E+18,"iran yaweka kamera kunasa wanawake wanaotembea bila kuvaa hijabu na baada ya hapo wanapokea ujumbe wa onyo
 "
1.64514E+18,"liverpool wanajiandaa kwa kila namna kwa msimu mpya huku kiungo wa kati wa real madrid na ufaransa aurelien tchouameni akiwa miongoni mwa ajenda zao kuu
 "
1.64513E+18,"je trump anaweza kubadili sifa mbaya zinazotokana na kesi inayomkabili kushinda urais marekani
 "
1.64512E+18,"imam walid mahsas ambaye hakukatiza swala ya taraweeh licha ya paka kumrukia mabegani atunukiwa tuzo
 "
1.64512E+18,"china yafanya mazoezi ya kushambulia maeneo muhimu huko taiwan huku marekani ikisema itaingilia kati iwapo china itashambulia kisiwa hicho
 "
1.64511E+18,"kijana wa kimisri ajinyakulia mamilioni katika mashindano ya quran nchini tanzania
 "
1.6451E+18,"hata kristo hajaokolewa fahamu misemo 7 maarufu ambayo haiwezi kuchukuliwi kuwa kweli
 "
